"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 01 10:36:28 GMT 2021","Sat May 01 10:36:31 GMT 2021","2466","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Sat May 01 10:37:18 GMT 2021","Sat May 01 10:37:24 GMT 2021","5286","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"passed","Sat May 01 10:37:12 GMT 2021","Sat May 01 10:37:16 GMT 2021","3571","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"passed","Sat May 01 10:37:52 GMT 2021","Sat May 01 10:37:59 GMT 2021","6255","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"passed","Sat May 01 10:36:52 GMT 2021","Sat May 01 10:36:56 GMT 2021","4456","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"passed","Sat May 01 10:36:34 GMT 2021","Sat May 01 10:36:37 GMT 2021","3764","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 10:36:17 GMT 2021","Sat May 01 10:36:21 GMT 2021","4709","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"passed","Sat May 01 10:36:21 GMT 2021","Sat May 01 10:36:25 GMT 2021","3285","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Sat May 01 10:36:40 GMT 2021","Sat May 01 10:36:43 GMT 2021","2997","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sat May 01 10:36:46 GMT 2021","Sat May 01 10:36:49 GMT 2021","2747","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Sat May 01 10:37:27 GMT 2021","Sat May 01 10:37:31 GMT 2021","4062","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 10:37:33 GMT 2021","Sat May 01 10:37:36 GMT 2021","2961","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sat May 01 10:37:05 GMT 2021","Sat May 01 10:37:09 GMT 2021","3859","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"passed","Sat May 01 10:37:40 GMT 2021","Sat May 01 10:37:49 GMT 2021","9018","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
"passed","Sat May 01 10:36:59 GMT 2021","Sat May 01 10:37:02 GMT 2021","3426","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
